BatchId	OriginAirportCode	DestinationAirportCode	FlightDate	FlightType	FareType	FinalScore	FareDollarAmount	TaxDollarAmount	FarePointsAmount	TaxPointsAmount	IsDomesticRoute	IsHotDeal	IsPriceDrop	PriceDropFromDollarAmount	LastDayOfFare	DaysOfWeek	IsNewPriceDrop
34691	UVF	JFK	12/20/17 3:00 PM	NONSTOP	POINTS	389.7	252.76	112.76	10400	78.76	0	0	0	0	3/28/18 1:03 PM	"Monday,Tuesday,Wednesday,Thursday,Friday"	0
34691	UVF	JFK	12/20/17 3:00 PM	NONSTOP	LOWEST	389.7	252.76	112.76	0	0	0	0	0	0	3/28/18 1:03 PM	"Monday,Tuesday,Wednesday,Thursday,Friday"	0
34691	UVF	JFK	12/6/17 2:32 PM	NONSTOP	POINTS	190.9	323.76	117.76	15300	78.76	0	0	0	0	3/28/18 1:03 PM	"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday"	0
34691	UVF	JFK	12/6/17 2:32 PM	NONSTOP	POINTS	301.73	286.06	115.06	12700	78.76	0	0	0	0	3/28/18 1:03 PM	"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"	0
34691	UVF	JFK	12/6/17 2:32 PM	NONSTOP	POINTS	291.48	285.06	115.06	12600	78.76	0	0	0	0	3/28/18 1:03 PM	"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"	0
34691	UVF	JFK	12/6/17 2:32 PM	NONSTOP	LOWEST	190.9	323.76	117.76	0	0	0	0	0	0	3/28/18 1:03 PM	"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday"	0
34691	UVF	JFK	12/6/17 2:32 PM	NONSTOP	LOWEST	301.73	286.06	115.06	0	0	0	0	0	0	3/28/18 1:03 PM	"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"	0
34691	UVF	JFK	12/6/17 2:32 PM	NONSTOP	LOWEST	291.48	285.06	115.06	0	0	0	0	0	0	3/28/18 1:03 PM	"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday"	0
34691	UVF	BOS	12/24/17 5:34 PM	NONSTOP	POINTS	81.86	209.76	109.76	7500	78.76	0	0	0	0	12/24/17 5:34 PM		0
34691	UVF	BOS	12/24/17 5:34 PM	NONSTOP	LOWEST	81.86	209.76	109.76	0	0	0	0	0	0	12/24/17 5:34 PM		0
34691	UVF	BOS	12/16/17 5:34 PM	NONSTOP	POINTS	31.84	306.56	116.56	14100	78.76	0	0	0	0	1/27/18 4:07 PM	Saturday	0
34691	UVF	BOS	12/16/17 5:34 PM	NONSTOP	POINTS	38.21	242.06	112.06	9700	78.76	0	0	0	0	12/24/17 5:34 PM		0
34691	UVF	BOS	12/16/17 5:34 PM	NONSTOP	LOWEST	31.84	306.56	116.56	0	0	0	0	0	0	1/27/18 4:07 PM	Saturday	0
34691	UVF	BOS	12/16/17 5:34 PM	NONSTOP	LOWEST	38.21	242.06	112.06	0	0	0	0	0	0	12/24/17 5:34 PM		0
34691	UIO	FLL	1/28/18 12:59 AM	NONSTOP	POINTS	2.96	237.71	156.71	6000	133.21	0	0	0	0	3/27/18 11:59 PM	"Monday,Tuesday"	0
34691	UIO	FLL	1/28/18 12:59 AM	NONSTOP	LOWEST	2.96	237.71	156.71	0	0	0	0	0	0	3/27/18 11:59 PM	"Monday,Tuesday"	0
34691	UIO	FLL	1/21/18 12:59 AM	NONSTOP	POINTS	0.52	263.47	159.47	7800	135.97	0	0	0	0	3/28/18 11:59 PM	"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday"	0
34691	UIO	FLL	1/21/18 12:59 AM	NONSTOP	LOWEST	0.52	263.47	159.47	0	0	0	0	0	0	3/28/18 11:59 PM	"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday"	0
34691	UIO	FLL	1/17/18 12:59 AM	NONSTOP	POINTS	0	288.11	162.11	9400	138.61	0	0	0	0	3/28/18 11:59 PM	"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday"	0
34691	UIO	FLL	1/17/18 12:59 AM	NONSTOP	LOWEST	0	288.11	162.11	0	0	0	0	0	0	3/28/18 11:59 PM	"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday"	0
34691	UIO	FLL	12/6/17 12:59 AM	NONSTOP	POINTS	0	316.11	165.11	11200	141.61	0	0	0	0	3/28/18 11:59 PM	"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday"	0
